# {'N': 2, 'y': [8, 9], 'f': [0, 1], 'M': 2, 'mu_': [7, 7], 'f_': [2, 3], 'n': 302, 'mu': [6, 6], 'y_': [10, 11], 'x': [4, 5]}
269,0.816,0.563,0.901,0.490,0.816,0.563,0.120,0.292,-25.799,-7.001,0.130,0.362
158,0.829,0.468,0.916,0.380,0.829,0.468,0.118,0.219,-23.240,-10.402,0.168,0.303
260,0.803,0.660,0.886,0.604,0.803,0.660,0.118,0.417,-28.251,-3.441,0.093,0.423
278,0.315,0.965,0.347,0.959,0.315,0.965,0.118,0.193,18.561,14.023,0.792,0.725
225,0.314,0.965,0.346,0.960,0.314,0.965,0.116,0.188,18.304,14.160,0.788,0.727
177,0.781,0.814,0.862,0.784,0.781,0.814,0.115,1.479,-32.135,2.339,0.035,0.523
20,0.312,0.967,0.344,0.961,0.312,0.967,0.113,0.184,18.027,14.807,0.784,0.738
193,0.312,0.967,0.344,0.961,0.312,0.967,0.113,0.184,17.808,14.660,0.781,0.736
8,0.848,0.343,0.937,0.235,0.848,0.343,0.111,0.158,-19.671,-15.320,0.221,0.218
26,0.811,0.596,0.896,0.530,0.811,0.596,0.111,0.304,-26.706,-5.825,0.116,0.382
74,0.851,0.326,0.940,0.215,0.851,0.326,0.111,0.153,-19.214,-16.103,0.228,0.205
81,0.790,0.747,0.873,0.705,0.790,0.747,0.111,0.661,-30.535,-0.288,0.059,0.478
119,0.779,0.826,0.860,0.797,0.779,0.826,0.111,1.764,-32.541,2.698,0.029,0.529
159,0.827,0.482,0.914,0.396,0.827,0.482,0.111,0.215,-23.651,-9.929,0.162,0.311
163,0.840,0.394,0.928,0.294,0.840,0.394,0.111,0.175,-21.156,-13.231,0.199,0.254
166,0.817,0.556,0.902,0.483,0.817,0.556,0.111,0.265,-25.671,-7.276,0.131,0.357
184,0.866,0.244,0.957,0.119,0.866,0.244,0.111,0.133,-16.170,-19.869,0.273,0.139
217,0.311,0.967,0.343,0.962,0.311,0.967,0.111,0.179,17.769,14.952,0.780,0.741
266,0.804,0.653,0.887,0.596,0.804,0.653,0.111,0.382,-28.224,-3.808,0.093,0.417
109,0.309,0.968,0.341,0.963,0.309,0.968,0.109,0.174,17.513,15.505,0.776,0.750
229,0.309,0.968,0.341,0.963,0.309,0.968,0.109,0.174,17.357,15.400,0.774,0.749
12,0.307,0.970,0.339,0.964,0.307,0.970,0.106,0.170,17.003,16.091,0.769,0.761
99,0.308,0.969,0.339,0.964,0.308,0.969,0.106,0.170,17.203,15.793,0.772,0.755
83,0.304,0.971,0.335,0.966,0.304,0.971,0.101,0.161,16.425,16.734,0.760,0.772
32,0.830,0.462,0.917,0.373,0.830,0.462,0.100,0.184,-23.227,-10.735,0.168,0.297
42,0.815,0.571,0.900,0.500,0.815,0.571,0.100,0.250,-26.149,-6.790,0.124,0.365
71,0.791,0.740,0.874,0.697,0.791,0.740,0.100,0.565,-30.391,-0.562,0.061,0.473
75,0.832,0.450,0.919,0.359,0.832,0.450,0.100,0.179,-22.890,-11.190,0.173,0.289
150,0.781,0.809,0.863,0.778,0.781,0.809,0.100,1.176,-32.283,1.950,0.033,0.516
201,0.801,0.673,0.884,0.619,0.801,0.673,0.100,0.377,-28.663,-2.999,0.087,0.431
18,0.303,0.972,0.334,0.967,0.303,0.972,0.099,0.156,16.278,17.151,0.758,0.779
273,0.768,0.895,0.848,0.878,0.768,0.895,0.098,3.252,-33.626,4.880,0.013,0.567
258,0.301,0.973,0.332,0.968,0.301,0.973,0.096,0.152,15.982,17.580,0.754,0.786
287,0.300,0.974,0.331,0.969,0.300,0.974,0.094,0.147,15.777,17.884,0.750,0.791
64,0.299,0.974,0.330,0.970,0.299,0.974,0.091,0.142,15.464,18.020,0.746,0.794
76,0.299,0.974,0.330,0.970,0.299,0.974,0.091,0.142,15.755,18.221,0.750,0.797
144,0.806,0.635,0.890,0.575,0.806,0.635,0.091,0.289,-27.595,-4.352,0.103,0.407
191,0.809,0.616,0.893,0.552,0.809,0.616,0.091,0.267,-27.248,-5.092,0.108,0.395
251,0.298,0.975,0.328,0.971,0.298,0.975,0.088,0.138,15.385,18.448,0.745,0.801
78,0.296,0.976,0.326,0.972,0.296,0.976,0.086,0.133,15.136,18.952,0.741,0.810
38,0.294,0.977,0.324,0.973,0.294,0.977,0.083,0.128,14.807,19.485,0.736,0.819
132,0.294,0.977,0.324,0.973,0.294,0.977,0.083,0.128,14.612,19.348,0.733,0.817
162,0.782,0.803,0.864,0.770,0.782,0.803,0.083,0.887,-31.922,1.866,0.038,0.515
187,0.799,0.683,0.883,0.631,0.799,0.683,0.083,0.331,-28.916,-2.667,0.083,0.437
