# {'N': 4, 'y': [14, 15], 'f': [0, 3], 'M': 4, 'mu_': [13, 13], 'f_': [4, 7], 'n': 1132, 'mu': [12, 12], 'y_': [16, 17], 'x': [8, 11]}
633,0.874,0.920,0.112,0.461,0.893,0.927,0.115,0.205,0.874,0.920,0.112,0.461,0.387,0.477,-23.126,69.320,0.326,0.899
738,0.035,0.086,0.739,0.873,0.035,0.086,0.758,0.687,0.035,0.086,0.739,0.873,0.383,0.530,28.021,-48.875,0.712,0.132
203,0.085,0.914,0.760,0.572,0.087,0.921,0.780,0.335,0.085,0.914,0.760,0.572,0.381,0.456,-50.135,25.282,0.122,0.613
174,0.052,0.032,0.722,0.883,0.053,0.032,0.740,0.699,0.052,0.032,0.722,0.883,0.378,0.534,27.494,-48.000,0.708,0.137
968,0.851,0.842,0.091,0.572,0.869,0.849,0.093,0.335,0.851,0.842,0.091,0.572,0.377,0.486,-22.047,66.771,0.334,0.883
718,0.843,0.016,0.754,0.649,0.861,0.016,0.773,0.425,0.843,0.016,0.754,0.649,0.376,0.445,24.329,28.578,0.684,0.635
1125,0.876,0.838,0.734,0.407,0.895,0.845,0.753,0.141,0.876,0.838,0.734,0.407,0.366,0.485,-3.318,81.233,0.476,0.977
614,0.129,0.899,0.777,0.561,0.132,0.906,0.798,0.322,0.129,0.899,0.777,0.561,0.349,0.452,-51.183,25.945,0.114,0.618
579,0.075,0.925,0.734,0.598,0.076,0.932,0.753,0.366,0.075,0.925,0.734,0.598,0.336,0.393,-49.956,24.345,0.123,0.607
275,0.115,0.888,0.716,0.611,0.117,0.894,0.734,0.380,0.115,0.888,0.716,0.611,0.333,0.429,-50.387,23.238,0.120,0.600
1051,0.867,0.832,0.745,0.426,0.886,0.838,0.764,0.164,0.867,0.832,0.745,0.426,0.330,0.457,-2.999,80.963,0.478,0.975
512,0.922,0.025,0.704,0.615,0.942,0.025,0.723,0.385,0.922,0.025,0.704,0.615,0.329,0.359,23.764,30.023,0.680,0.644
320,0.126,0.894,0.721,0.603,0.129,0.901,0.740,0.371,0.126,0.894,0.721,0.603,0.325,0.421,-50.897,23.656,0.116,0.603
916,0.938,0.024,0.099,0.749,0.958,0.024,0.102,0.542,0.938,0.024,0.099,0.749,0.325,0.348,57.600,19.215,0.935,0.574
44,0.802,0.005,0.804,0.714,0.819,0.005,0.824,0.501,0.802,0.005,0.804,0.714,0.321,0.391,24.143,26.999,0.683,0.624
345,0.909,0.011,0.198,0.723,0.929,0.011,0.203,0.512,0.909,0.011,0.198,0.723,0.321,0.349,58.043,17.704,0.939,0.564
578,0.844,0.019,0.703,0.684,0.862,0.019,0.721,0.466,0.844,0.019,0.703,0.684,0.316,0.375,25.445,28.271,0.693,0.633
1110,0.008,0.137,0.725,0.883,0.008,0.138,0.744,0.700,0.008,0.137,0.725,0.883,0.316,0.430,27.703,-49.974,0.710,0.125
191,0.011,0.801,0.809,0.713,0.011,0.808,0.830,0.500,0.011,0.801,0.809,0.713,0.313,0.382,-44.631,24.292,0.164,0.607
37,0.885,0.807,0.088,0.602,0.904,0.814,0.090,0.370,0.885,0.807,0.088,0.602,0.312,0.384,-21.167,66.461,0.341,0.881
987,0.120,0.054,0.819,0.827,0.123,0.054,0.840,0.634,0.120,0.054,0.819,0.827,0.310,0.395,29.961,-45.586,0.727,0.153
1017,0.846,0.061,0.736,0.658,0.864,0.061,0.755,0.435,0.846,0.061,0.736,0.658,0.310,0.386,25.009,28.758,0.689,0.636
961,0.153,0.010,0.745,0.869,0.157,0.010,0.765,0.682,0.153,0.010,0.745,0.869,0.302,0.400,27.265,-45.812,0.706,0.152
716,0.917,0.173,0.004,0.724,0.936,0.175,0.004,0.513,0.917,0.173,0.004,0.724,0.296,0.317,59.883,21.263,0.953,0.587
1005,0.027,0.000,0.932,0.855,0.028,0.000,0.956,0.667,0.027,0.000,0.932,0.855,0.296,0.309,31.209,-47.121,0.736,0.143
151,0.835,0.225,0.001,0.814,0.853,0.226,0.001,0.618,0.835,0.225,0.001,0.814,0.295,0.347,59.686,24.020,0.951,0.605
820,0.239,0.821,0.002,0.845,0.244,0.827,0.002,0.654,0.239,0.821,0.002,0.845,0.293,0.355,-43.778,-13.821,0.170,0.359
592,0.017,0.831,0.771,0.663,0.017,0.838,0.791,0.442,0.017,0.831,0.771,0.663,0.292,0.355,-46.093,24.466,0.153,0.608
22,0.856,0.033,0.140,0.772,0.875,0.033,0.143,0.570,0.856,0.033,0.140,0.772,0.284,0.338,57.738,18.732,0.936,0.571
