# {'n':1132, 'M':4, 'N':4, 'f':[0,3], 'f_':[4,7], 'x':[8,11]}
21,0.840,0.777,0.571,0.719,0.859,0.783,0.586,0.507,0.840,0.777,0.571,0.719
22,0.856,0.033,0.140,0.772,0.875,0.033,0.143,0.570,0.856,0.033,0.140,0.772
23,0.822,0.759,0.295,0.836,0.840,0.765,0.303,0.645,0.822,0.759,0.295,0.836
24,0.026,0.295,0.145,0.999,0.026,0.297,0.149,0.835,0.026,0.295,0.145,0.999
25,0.763,0.349,0.016,0.957,0.780,0.352,0.017,0.786,0.763,0.349,0.016,0.957
26,0.438,0.063,0.528,0.974,0.448,0.063,0.542,0.806,0.438,0.063,0.528,0.974
27,0.265,0.449,0.668,0.897,0.270,0.453,0.686,0.715,0.265,0.449,0.668,0.897
28,0.876,0.238,0.612,0.690,0.895,0.240,0.628,0.473,0.876,0.238,0.612,0.690
29,0.281,0.883,0.009,0.721,0.287,0.890,0.009,0.509,0.281,0.883,0.009,0.721
30,0.784,0.370,0.863,0.720,0.801,0.373,0.885,0.508,0.784,0.370,0.863,0.720
31,0.333,0.272,0.067,0.983,0.340,0.274,0.068,0.816,0.333,0.272,0.067,0.983
32,0.084,0.097,0.596,0.972,0.085,0.098,0.612,0.803,0.084,0.097,0.596,0.972
33,0.079,0.824,0.739,0.707,0.081,0.830,0.758,0.493,0.079,0.824,0.739,0.707
34,0.401,0.046,0.529,0.970,0.410,0.046,0.542,0.802,0.401,0.046,0.529,0.970
35,0.062,0.808,0.299,0.892,0.063,0.814,0.307,0.709,0.062,0.808,0.299,0.892
36,0.061,0.114,0.755,0.864,0.062,0.114,0.775,0.676,0.061,0.114,0.755,0.864
37,0.885,0.807,0.088,0.602,0.904,0.814,0.090,0.370,0.885,0.807,0.088,0.602
38,0.412,0.832,0.200,0.801,0.421,0.839,0.205,0.603,0.412,0.832,0.200,0.801
39,0.162,0.149,0.659,0.938,0.165,0.150,0.677,0.763,0.162,0.149,0.659,0.938
40,0.833,0.277,0.692,0.710,0.851,0.279,0.710,0.497,0.833,0.277,0.692,0.710
41,0.318,0.905,0.070,0.704,0.325,0.912,0.071,0.489,0.318,0.905,0.070,0.704
42,0.922,0.002,0.619,0.671,0.942,0.002,0.635,0.451,0.922,0.002,0.619,0.671
43,0.121,0.193,0.690,0.914,0.123,0.195,0.708,0.735,0.121,0.193,0.690,0.914
44,0.802,0.005,0.804,0.714,0.819,0.005,0.824,0.501,0.802,0.005,0.804,0.714
45,0.007,0.029,0.252,1.013,0.007,0.029,0.258,0.852,0.007,0.029,0.252,1.013
46,0.323,0.863,0.015,0.740,0.330,0.870,0.016,0.532,0.323,0.863,0.015,0.740
47,0.013,0.179,0.017,1.007,0.014,0.181,0.018,0.845,0.013,0.179,0.017,1.007
48,0.249,0.767,0.768,0.813,0.255,0.773,0.788,0.617,0.249,0.767,0.768,0.813
49,0.861,0.793,0.774,0.509,0.879,0.799,0.794,0.261,0.861,0.793,0.774,0.509
50,0.855,0.471,0.594,0.719,0.874,0.474,0.609,0.507,0.855,0.471,0.594,0.719
51,0.906,0.062,0.052,0.719,0.926,0.062,0.053,0.506,0.906,0.062,0.052,0.719
52,0.816,0.222,0.520,0.852,0.834,0.223,0.533,0.662,0.816,0.222,0.520,0.852
53,0.003,0.210,0.486,1.008,0.003,0.212,0.499,0.846,0.003,0.210,0.486,1.008
54,0.364,0.188,0.602,0.945,0.372,0.190,0.617,0.772,0.364,0.188,0.602,0.945
55,0.149,0.879,0.234,0.748,0.152,0.886,0.240,0.541,0.149,0.879,0.234,0.748
56,0.028,0.410,0.525,0.971,0.029,0.413,0.539,0.802,0.028,0.410,0.525,0.971
57,0.892,0.021,0.758,0.572,0.912,0.021,0.777,0.335,0.892,0.021,0.758,0.572
58,0.257,0.233,0.599,0.963,0.262,0.234,0.614,0.792,0.257,0.233,0.599,0.963
59,0.824,0.272,0.675,0.745,0.842,0.274,0.692,0.538,0.824,0.272,0.675,0.745
60,0.803,0.095,0.765,0.738,0.821,0.096,0.785,0.529,0.803,0.095,0.765,0.738
61,0.367,0.874,0.090,0.718,0.375,0.881,0.092,0.506,0.367,0.874,0.090,0.718
62,0.268,0.283,0.039,0.993,0.274,0.285,0.040,0.827,0.268,0.283,0.039,0.993
63,0.874,0.256,0.778,0.575,0.893,0.258,0.798,0.338,0.874,0.256,0.778,0.575
64,0.233,0.832,0.157,0.825,0.238,0.839,0.161,0.631,0.233,0.832,0.157,0.825
