# {'f_': [3, 5], 'mu_': [10, 10], 'n': 578, 'N': 3, 'M': 3, 'mu': [9, 9], 'x': [6, 8], 'f': [0, 2]}
252,0.011,0.910,0.573,0.012,0.966,0.495,0.011,0.910,0.573,0.364,0.381
380,0.840,0.865,0.321,0.906,0.918,0.204,0.840,0.865,0.321,0.363,0.508
237,0.832,0.876,0.326,0.898,0.929,0.210,0.832,0.876,0.326,0.352,0.490
203,0.847,0.001,0.675,0.914,0.000,0.613,0.847,0.001,0.675,0.346,0.379
39,0.011,0.844,0.687,0.012,0.896,0.626,0.011,0.844,0.687,0.320,0.362
309,0.847,0.850,0.340,0.914,0.902,0.227,0.847,0.850,0.340,0.310,0.451
241,0.872,0.830,0.343,0.940,0.881,0.229,0.872,0.830,0.343,0.304,0.428
193,0.826,0.897,0.321,0.890,0.952,0.204,0.826,0.897,0.321,0.299,0.400
119,0.900,0.838,0.279,0.970,0.889,0.155,0.900,0.838,0.279,0.296,0.364
136,0.013,0.837,0.709,0.013,0.888,0.652,0.013,0.837,0.709,0.296,0.339
23,0.850,0.830,0.397,0.917,0.881,0.292,0.850,0.830,0.397,0.290,0.464
243,0.822,0.879,0.355,0.887,0.933,0.244,0.822,0.879,0.355,0.289,0.420
81,0.852,0.855,0.310,0.919,0.908,0.192,0.852,0.855,0.310,0.286,0.393
263,0.913,0.905,0.144,0.984,0.960,0.000,0.913,0.905,0.144,0.286,0.290
479,0.887,0.800,0.424,0.957,0.849,0.323,0.887,0.800,0.424,0.284,0.447
152,0.827,0.837,0.451,0.892,0.888,0.354,0.827,0.837,0.451,0.283,0.527
126,0.813,0.854,0.450,0.876,0.906,0.353,0.813,0.854,0.450,0.280,0.505
122,0.801,0.893,0.413,0.864,0.948,0.311,0.801,0.893,0.413,0.279,0.438
106,0.848,0.833,0.393,0.914,0.885,0.288,0.848,0.833,0.393,0.279,0.445
156,0.816,0.847,0.456,0.880,0.899,0.360,0.816,0.847,0.456,0.278,0.516
139,0.804,0.886,0.411,0.867,0.941,0.308,0.804,0.886,0.411,0.278,0.439
387,0.896,0.796,0.427,0.966,0.845,0.326,0.896,0.796,0.427,0.277,0.433
138,0.814,0.867,0.410,0.877,0.920,0.307,0.814,0.867,0.410,0.276,0.451
424,0.886,0.794,0.445,0.955,0.843,0.347,0.886,0.794,0.445,0.276,0.454
336,0.876,0.797,0.451,0.945,0.846,0.354,0.876,0.797,0.451,0.269,0.456
491,0.831,0.860,0.366,0.897,0.913,0.256,0.831,0.860,0.366,0.269,0.410
323,0.032,0.847,0.679,0.034,0.899,0.617,0.032,0.847,0.679,0.267,0.308
0,0.873,0.818,0.380,0.942,0.869,0.272,0.873,0.818,0.380,0.267,0.398
