# {'f_': [4, 7], 'mu_': [13, 13], 'n': 1132, 'N': 4, 'M': 4, 'mu': [12, 12], 'x': [8, 11], 'f': [0, 3]}
520,0.134,0.878,0.669,0.655,0.136,0.885,0.686,0.433,0.134,0.878,0.669,0.655,0.254,0.339
147,0.800,0.852,0.852,0.478,0.817,0.859,0.874,0.224,0.800,0.852,0.852,0.478,0.253,0.390
363,0.853,0.118,0.056,0.779,0.872,0.118,0.057,0.577,0.853,0.118,0.056,0.779,0.250,0.307
663,0.806,0.011,0.713,0.765,0.823,0.011,0.731,0.561,0.806,0.011,0.713,0.765,0.249,0.307
317,0.809,0.029,0.080,0.874,0.827,0.029,0.082,0.689,0.809,0.029,0.080,0.874,0.245,0.306
242,0.007,0.280,0.829,0.810,0.007,0.282,0.851,0.614,0.007,0.280,0.829,0.810,0.242,0.287
1024,0.804,0.140,0.004,0.890,0.822,0.141,0.004,0.707,0.804,0.140,0.004,0.890,0.242,0.295
839,0.044,0.849,0.815,0.602,0.045,0.856,0.837,0.369,0.044,0.849,0.815,0.602,0.231,0.285
927,0.196,0.874,0.808,0.565,0.200,0.881,0.829,0.327,0.196,0.874,0.808,0.565,0.231,0.339
33,0.079,0.824,0.739,0.707,0.081,0.830,0.758,0.493,0.079,0.824,0.739,0.707,0.227,0.303
797,0.898,0.050,0.864,0.529,0.917,0.050,0.886,0.284,0.898,0.050,0.864,0.529,0.216,0.249
576,0.152,0.909,0.792,0.552,0.155,0.916,0.812,0.312,0.152,0.909,0.792,0.552,0.213,0.280
469,0.850,0.404,0.017,0.754,0.869,0.407,0.017,0.548,0.850,0.404,0.017,0.754,0.205,0.241
319,0.278,0.844,0.024,0.786,0.284,0.850,0.024,0.586,0.278,0.844,0.024,0.786,0.202,0.245
1087,0.221,0.903,0.656,0.644,0.226,0.910,0.673,0.419,0.221,0.903,0.656,0.644,0.202,0.295
60,0.803,0.095,0.765,0.738,0.821,0.096,0.785,0.529,0.803,0.095,0.765,0.738,0.201,0.277
1093,0.796,0.126,0.011,0.909,0.813,0.126,0.011,0.730,0.796,0.126,0.011,0.909,0.196,0.245
347,0.075,0.833,0.690,0.722,0.077,0.839,0.708,0.510,0.075,0.833,0.690,0.722,0.196,0.257
49,0.861,0.793,0.774,0.509,0.879,0.799,0.794,0.261,0.861,0.793,0.774,0.509,0.195,0.315
383,0.092,0.804,0.123,0.892,0.094,0.810,0.126,0.709,0.092,0.804,0.123,0.892,0.194,0.271
281,0.860,0.944,0.725,0.392,0.879,0.951,0.744,0.124,0.860,0.944,0.725,0.392,0.190,0.230
893,0.060,0.792,0.034,0.915,0.061,0.798,0.035,0.737,0.060,0.792,0.034,0.915,0.190,0.249
350,0.882,0.082,0.140,0.736,0.901,0.082,0.144,0.527,0.882,0.082,0.140,0.736,0.189,0.231
881,0.889,0.141,0.846,0.538,0.908,0.142,0.868,0.295,0.889,0.141,0.846,0.538,0.189,0.246
77,0.260,0.044,0.805,0.825,0.266,0.044,0.826,0.631,0.260,0.044,0.805,0.825,0.189,0.241
